event_id,event_name,event_date,vendor_id,vendor_name,category,products,email,phone,instagram,booth
EVT-001,Summer Makers Market,2026-07-11,FV-035,Willow & Wick Candle Co.,Candles & Home Fragrance,"Soy candles, wax melts, room sprays",hello@willowwick.com,(202) 555-0143,@willowwickcandles,A1
EVT-001,Summer Makers Market,2026-07-11,FV-028,Terra Luna Ceramics,Pottery & Ceramics,"Hand-thrown mugs, planters, serving bowls",studio@terraluna.com,(202) 555-0171,@terralunaceramics,A2
EVT-001,Summer Makers Market,2026-07-11,FV-012,Hazel + Pine Woodworks,Woodworking,"Cutting boards, serving trays, coasters",shop@hazelpine.com,(703) 555-0188,@hazelpinewood,A3
EVT-001,Summer Makers Market,2026-07-11,FV-007,Copper Fox Jewelry,Jewelry,"Hammered copper earrings, brass cuffs",hello@copperfox.shop,(571) 555-0137,@copperfoxjewelry,A4
EVT-001,Summer Makers Market,2026-07-11,FV-027,Sweet Alchemy Bakes,Baked Goods,"French macarons, shortbread, brownies",orders@sweetalchemy.com,(202) 555-0152,@sweetalchemybakes,B1
EVT-001,Summer Makers Market,2026-07-11,FV-022,Prairie Honey Co.,Food & Pantry,"Raw wildflower honey, honeycomb, beeswax",buzz@prairiehoney.com,(540) 555-0131,@prairiehoneyco,B2
EVT-001,Summer Makers Market,2026-07-11,FV-013,Inkwell Prints,Art & Prints,"Linocut prints, screen-printed posters",press@inkwellprints.com,(202) 555-0118,@inkwellprintsdc,B3
EVT-001,Summer Makers Market,2026-07-11,FV-018,Moon Phase Metals,Jewelry,"Sterling silver rings, moon-phase pendants",luna@moonphasemetals.com,(202) 555-0134,@moonphasemetals,B4
EVT-002,Handmade at the Harbor,2026-07-18,FV-011,Harbor Light Candles,Candles & Home Fragrance,"Coastal soy candles, reed diffusers",glow@harborlight.co,(301) 555-0192,@harborlightcandles,A1
EVT-002,Handmade at the Harbor,2026-07-18,FV-008,Ember Glassworks,Glass Art,"Blown-glass ornaments, stained glass suncatchers",studio@emberglass.com,(301) 555-0174,@emberglassworks,A2
EVT-002,Handmade at the Harbor,2026-07-18,FV-017,Marigold Paper Studio,Stationery & Paper Goods,"Letterpress cards, notebooks, gift wrap",hi@marigoldpaper.com,(202) 555-0109,@marigoldpaper,A3
EVT-002,Handmade at the Harbor,2026-07-18,FV-003,Bloom & Bramble Botanicals,Bath & Body,"Herbal soaps, bath soaks, balms",care@bloombramble.com,(301) 555-0165,@bloomandbramble,A4
EVT-002,Handmade at the Harbor,2026-07-18,FV-026,Stone & Sage Pottery,Pottery & Ceramics,"Stoneware dinnerware, vases",kiln@stonesage.com,(703) 555-0119,@stoneandsagepottery,B1
EVT-002,Handmade at the Harbor,2026-07-18,FV-004,Cedar & Salt Soap Co.,Bath & Body,"Cold-process soaps, shower steamers",hello@cedarsalt.com,(703) 555-0142,@cedarandsalt,B2
EVT-002,Handmade at the Harbor,2026-07-18,FV-006,Cocoa & Crumb,Baked Goods,"Artisan cookies, hand-dipped chocolates",treats@cocoacrumb.com,(202) 555-0166,@cocoaandcrumb,B3
EVT-002,Handmade at the Harbor,2026-07-18,FV-021,Pinecone & Petal Wreaths,Plants & Florals,"Dried-flower wreaths, seasonal swags",wreaths@pineconepetal.com,(703) 555-0181,@pineconeandpetal,B4
EVT-003,Village Craft Fair,2026-07-26,FV-029,The Gilded Thread,Textiles & Fiber Arts,"Hand-embroidered linens, tea towels",orders@gildedthread.com,(301) 555-0122,@thegildedthread,A1
EVT-003,Village Craft Fair,2026-07-26,FV-007,Copper Fox Jewelry,Jewelry,"Hammered copper earrings, brass cuffs",hello@copperfox.shop,(571) 555-0137,@copperfoxjewelry,A2
EVT-003,Village Craft Fair,2026-07-26,FV-015,Lark & Loom Weaving,Textiles & Fiber Arts,"Woven wall hangings, table runners",weave@larkloom.com,(202) 555-0196,,A3
EVT-003,Village Craft Fair,2026-07-26,FV-014,Juniper Hill Farm,Food & Pantry,"Small-batch jams, pickles, hot sauces",farm@juniperhill.com,(540) 555-0126,@juniperhillfarm,A4
EVT-003,Village Craft Fair,2026-07-26,FV-010,Golden Hour Macrame,Textiles & Fiber Arts,"Macrame plant hangers, wall art",knots@goldenhour.art,(202) 555-0161,@goldenhourmacrame,B1
EVT-003,Village Craft Fair,2026-07-26,FV-024,Saffron Sky Spices,Food & Pantry,"Hand-blended spice mixes, infused salts",blend@saffronsky.com,(202) 555-0187,@saffronskyspices,B2
EVT-003,Village Craft Fair,2026-07-26,FV-005,Clay & Co. Studio,Pottery & Ceramics,"Speckled mugs, ring dishes, planters",hello@clayandco.studio,(703) 555-0164,@clayandcostudio,B3
EVT-003,Village Craft Fair,2026-07-26,FV-019,Oakheart Cutting Boards,Woodworking,"End-grain cutting boards, cheese boards",wood@oakheart.shop,(540) 555-0153,@oakheartboards,B4
