event_id,event_name,date,hours,venue,city,state
EVT-001,SUMMER MAKERS MARKET,"July 11, 2026",10:00 AM to 4:00 PM,Georgetown Waterfront Park,WASHINGTON,DC
EVT-002,Handmade at the Harbor,07/18/2026,11am - 6:00 PM,National Harbor Plaza,Oxon Hill,MD
EVT-003,Village Craft Fair,2026-07-26,10:00 AM to 5:00 PM,Old Town Market Square,Alexandria,VA
EVT-004,MOONLIGHT ARTISAN NIGHT MARKET,08/07/26,5:00 PM - 10pm,"The Wharf, District Pier",Washington,DC
EVT-005,Riverside Makers Bazaar,"Aug 15, 2026",10:00 AM to 4:00 PM,Yards Park,WASHINGTON,DC
EVT-006,Late Summer Craft Collective,"August 23, 2026",11:00 AM - 5:00 PM,Silver Spring Civic Plaza,Silver Spring,MD
EVT-007,HARVEST HANDMADE MARKET,09/05/2026,10:00 AM to 6:00 PM,Reston Town Center Pavilion,Reston,VA
EVT-008,Makers in the Park,2026-09-13,12pm - 5:00 PM,Meridian Hill Park,Washington,DC
EVT-009,Autumn Artisan Fair,09/19/26,10:00 AM to 5:00 PM,Bethesda Row Plaza,BETHESDA,MD
EVT-010,FALL VILLAGE MARKET,"Sep 27, 2026",10:00 AM - 4pm,Eastern Market Plaza,Washington,DC
